X(roll),Y(pitch),Z(yaw)
0.26575,0.0691,0.02459
0.20969,-0.00261,0.03861
0.17649,0.04194,0.04129
0.11401,-0.02832,-0.0084
0.04592,-0.03689,-0.01984
-0.09147,-0.01606,-0.03554
0.0287,0.00556,-0.01198
-0.0437,0.01063,-0.01983
-0.01083,0.03637,-0.02427
-0.05484,0.11596,-0.01597
-0.0932,0.12338,-0.03052
-0.08902,0.1425,-0.02299
-0.17706,0.07938,-0.03318
-0.15409,0.17408,-0.01475
-0.16411,0.04315,-0.02388
-0.14919,0.03485,-0.04114
-0.12366,0.03611,-0.04991
-0.16812,-0.02011,-0.09677
-0.06799,-0.26957,-0.1321
0.06917,-0.23928,-0.11827
